Date,Close/Last,Volume,Open,High,Low
02/09/2024,$115.21,48096530,$105.99,$117.82,$102.09
02/08/2024,$113.89,106505700,$94.41,$126.585,$94.00
02/07/2024,$77.01,22802800,$73.07,$77.71,$72.25
02/06/2024,$72.98,6899507,$75.00,$75.45,$71.80
02/05/2024,$73.27,7258066,$71.99,$74.28,$71.60
02/02/2024,$71.00,4298876,$71.10,$71.95,$70.00
02/01/2024,$70.52,3476065,$71.87,$72.55,$69.32
01/31/2024,$70.67,5087257,$70.66,$72.54,$69.62
01/30/2024,$71.97,4056633,$73.498,$74.15,$70.85
01/29/2024,$72.93,4318120,$72.00,$72.95,$71.20
01/26/2024,$71.17,7077097,$73.14,$73.89,$70.80
01/25/2024,$73.91,8817139,$76.49,$79.65,$73.26
01/24/2024,$75.74,6972177,$77.20,$77.6699,$74.80
01/23/2024,$76.35,4052530,$77.00,$77.59,$75.46
01/22/2024,$77.11,7697443,$78.58,$79.94,$76.50
01/19/2024,$78.58,9956491,$75.07,$78.9674,$74.43
01/18/2024,$74.23,11287500,$72.00,$74.80,$71.41
01/17/2024,$69.86,7209106,$68.00,$69.96,$66.66
01/16/2024,$68.48,7090256,$70.00,$70.00,$67.55
01/12/2024,$70.00,4025998,$70.85,$70.91,$69.01
01/11/2024,$69.77,6396114,$71.67,$71.872,$68.19
01/10/2024,$70.77,7450639,$73.00,$74.38,$69.86
01/09/2024,$71.88,5982003,$72.80,$72.98,$70.91
01/08/2024,$72.84,9303504,$67.76,$73.1846,$67.52
01/05/2024,$67.05,7356637,$69.12,$70.39,$66.52
01/04/2024,$68.39,5757570,$68.99,$69.60,$67.14
01/03/2024,$67.91,7858160,$67.07,$68.50,$65.11
01/02/2024,$68.92,9770966,$73.50,$73.52,$68.243
12/29/2023,$75.145,11178330,$78.36,$78.66,$74.60
12/28/2023,$77.47,9176899,$74.79,$78.35,$74.50
12/27/2023,$74.25,3802038,$74.50,$74.76,$73.4101
12/26/2023,$73.41,4046596,$73.27,$74.00,$71.76
12/22/2023,$72.29,5763862,$72.00,$73.4385,$71.48
12/21/2023,$71.20,5407601,$70.00,$71.95,$69.30
